,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
63,58,Dominican Republic,259260,623,3402,5,217286,38572,156,23713,311,1357657,124178,10933195,North America,42,3214,8,2021-04-21
64,59,Kuwait,251675,1402,1423,4,235053,15199,237,58258,329,2187159,506288,4319992,Asia,17,3036,2,2021-04-21
65,60,Moldova,243365,1001,5466,28,226325,11574,304,60440,1357,916328,227570,4026580,Europe,17,737,4,2021-04-21
66,61,Paraguay,242161,2020,5040,62,198473,38648,489,33628,700,994708,138132,7201165,South America,30,1429,7,2021-04-21
67,62,Ireland,242105,421,4812,9,222504,14789,49,48606,966,4226847,848593,4981009,Europe,21,1035,1,2021-04-21
68,63,Denmark,239532,663,2447,1,228685,8400,41,41240,421,30365290,5227975,5808232,Europe,24,2374,0,2021-04-21
69,64,Ethiopia,234405,1893,3252,22,174591,56562,995,2000,28,2469593,21075,117182537,Africa,500,36034,47,2021-04-21
70,65,Lithuania,229294,1318,3721,7,208123,17450,151,85168,1382,2536278,942059,2692270,Europe,12,724,1,2021-04-21
71,66,Slovenia,229076,1233,4135,5,211485,13456,154,110177,1989,1115238,536388,2079163,Europe,9,503,2,2021-04-21
72,67,Costa Rica,225343,0,3044,0,196060,26239,221,43921,593,879450,171413,5130600,North America,23,1685,6,2021-04-21
73,68,Egypt,212961,831,12570,44,161031,39360,90,2051,121,2677262,25782,103842186,Africa,488,8261,39,2021-04-21
74,69,Guatemala,207127,1805,7089,32,187894,12144,5,11397,390,1128745,62106,18174497,North America,88,2564,16,2021-04-21
75,70,Armenia,205128,1075,3794,19,184243,17091,0,69123,1278,915473,308490,2967598,Asia,14,782,3,2021-04-21
76,71,Honduras,196704,618,4873,12,76081,115750,576,19616,486,545442,54393,10027818,North America,51,2058,18,2021-04-21
77,72,Qatar,192963,984,348,8,171388,21227,483,68724,124,1820083,648223,2807805,Asia,15,8068,2,2021-04-21
78,73,Bosnia and Herzegovina,186372,708,7642,76,143944,34786,0,57087,2341,855428,262021,3264729,Europe,18,427,4,2021-04-21
79,74,Venezuela,178094,1122,1834,19,160620,15640,237,6277,65,3359014,118390,28372485,South America,159,15470,8,2021-04-21
80,75,Oman,175633,1269,1807,9,155645,18181,264,33725,347,1550000,297631,5207798,Asia,30,2882,3,2021-04-21
81,76,Libya,170045,541,2834,4,155117,12094,0,24486,408,921545,132703,6944442,Africa,41,2450,8,2021-04-21
82,77,Nigeria,164000,89,2061,0,154270,7669,11,781,10,1838174,8748,210120737,Africa,1281,101951,114,2021-04-21
83,78,Bahrain,159964,1175,569,3,148093,11302,91,91541,326,3834581,2194372,1747462,Asia,11,3071,0,2021-04-21
84,79,Uruguay,152089,2659,1647,52,119388,31054,509,43664,473,1575378,452280,3483191,South America,23,2115,2,2021-04-21
85,80,Kenya,148128,981,2420,26,99580,46128,269,2708,44,1578773,28865,54695314,Africa,369,22601,35,2021-04-21
86,81,North Macedonia,144111,949,4322,33,119683,20106,124,69174,2075,677988,325438,2083307,Europe,14,482,3,2021-04-21
87,82,Myanmar,142605,9,3206,0,131874,7525,0,2607,59,2556004,46731,54696124,Asia,384,17061,21,2021-04-21
88,83,Albania,128959,207,2331,5,99441,27187,18,44850,811,592872,206193,2875324,Europe,22,1234,5,2021-04-21
89,84,Algeria,118975,176,3141,4,82929,32905,19,2675,71,230861,5191,44469823,Africa,374,14158,193,2021-04-21
90,85,Estonia,115628,548,1057,8,97889,16682,68,87119,796,1209128,911011,1327237,Europe,11,1256,1,2021-04-21
91,86,S. Korea,111419,731,1782,7,101983,7654,100,2172,35,8245388,160717,51303892,Asia,460,28790,6,2021-04-21
92,87,Latvia,109088,733,2019,17,100464,6605,94,58344,1080,2068890,1106517,1869732,Europe,17,926,1,2021-04-21
93,88,Norway,105271,263,706,18,88952,15613,53,19300,129,4923702,902686,5454503,Europe,52,7726,1,2021-04-21
94,89,Sri Lanka,95737,117,604,2,92151,2982,0,4456,28,2374627,110531,21483791,Asia,224,35569,9,2021-04-21
95,90,Montenegro,94859,216,1405,14,89615,3839,69,151018,2237,355916,566629,628129,Europe,7,447,2,2021-04-21
96,91,Ghana,91477,67,763,2,89301,1413,10,2897,24,1034099,32746,31579196,Africa,345,41388,31,2021-04-21
97,92,Kyrgyzstan,90839,240,1534,2,86313,2992,25,13746,232,913797,138279,6608364,Asia,73,4308,7,2021-04-21
98,93,China,90447,12,4636,0,85513,298,6,63,3,160000000,111163,1439323776,Asia,15913,310467,9,2021-04-21
99,94,Zambia,90389,171,1229,0,88241,919,49,4812,65,1321490,70350,18784579,Africa,208,15284,14,2021-04-21
100,95,Cuba,89404,959,487,11,84114,4803,75,7897,43,3277536,289505,11321175,North America,127,23247,3,2021-04-21
101,96,Uzbekistan,85503,212,634,0,83264,1605,23,2526,19,1377915,40708,33848811,Asia,396,53389,25,2021-04-21
102,97,Finland,82964,400,881,4,46000,36083,34,14955,159,4204546,757919,5547489,Europe,67,6297,1,2021-04-21
103,98,Mozambique,68927,56,794,0,59972,8161,68,2158,25,499500,15640,31936814,Africa,463,40223,64,2021-04-21
104,99,El Salvador,66816,159,2057,3,63196,1563,60,10261,316,876378,134581,6511911,North America,97,3166,7,2021-04-21
105,100,Luxembourg,64334,272,784,7,60203,3347,30,101482,1237,2530508,3991703,633942,Europe,10,809,0,2021-04-21
106,101,Cameroon,61731,0,919,0,56926,3886,385,2281,34,1257949,46486,27060733,Africa,438,29446,22,2021-04-21
107,102,Singapore,60719,27,30,0,60392,297,2,10315,5,9036706,1535172,5886444,Asia,97,196215,1,2021-04-21
108,0,Oceania,60351,179,1155,2,34722,24474,4,0,0,0,0,0,Australia/Oceania,0,0,0,2021-04-21
109,103,Afghanistan,57534,42,2533,1,52022,2979,1124,1452,64,375610,9482,39612153,Asia,688,15638,105,2021-04-21
110,104,Cyprus,53254,602,277,3,39061,13916,27,43857,228,4102961,3378989,1214257,Asia,23,4384,0,2021-04-21
111,105,Namibia,46051,102,592,6,44162,1297,32,17871,230,366186,142105,2576863,Africa,56,4353,7,2021-04-21
112,106,Ivory Coast,45388,123,271,2,44833,284,0,1688,10,557294,20727,26887262,Africa,592,99215,48,2021-04-21
113,107,Botswana,43444,0,663,0,38923,3858,1,18187,278,958802,401391,2388698,Africa,55,3603,2,2021-04-21
114,108,Jamaica,43054,130,692,10,19248,23114,39,14490,233,308897,103959,2971321,North America,69,4294,10,2021-04-21
115,109,Uganda,41237,33,338,1,40779,120,24,880,7,974067,20785,46863292,Africa,1136,138649,48,2021-04-21
116,110,Senegal,39560,65,1084,3,38290,186,17,2315,63,457998,26803,17087514,Africa,432,15763,37,2021-04-21
117,111,Zimbabwe,37369,39,1548,5,34946,875,12,2486,103,394257,26227,15032245,Africa,402,9711,38,2021-04-21
118,112,Thailand,35910,1335,97,0,28322,7491,1,513,1,8124896,116173,69937672,Asia,1948,721007,9,2021-04-21
119,113,Malawi,33891,19,1134,1,31675,1082,20,1737,58,225576,11559,19514960,Africa,576,17209,87,2021-04-21
120,114,Sudan,31790,90,2208,14,25539,4043,0,712,49,232965,5218,44647518,Africa,1404,20221,192,2021-04-21
121,115,Malta,29778,58,403,0,28797,578,0,67300,911,838522,1895106,442467,Europe,15,1098,1,2021-04-21
122,116,Australia,29442,5,910,0,26380,2152,0,1144,35,16210906,629998,25731698,Australia/Oceania,874,28277,2,2021-04-21
123,117,Madagascar,29348,583,520,8,24695,4133,246,1039,18,158085,5597,28245501,Africa,962,54318,179,2021-04-21
124,118,DRC,28714,49,745,0,25841,2128,0,313,8,143603,1566,91677905,Africa,3193,123058,638,2021-04-21
125,119,Maldives,25844,85,67,0,23141,2636,82,47162,122,675941,1233503,547985,Asia,21,8179,1,2021-04-21
126,120,Angola,23841,144,557,3,22144,1140,17,708,17,443086,13163,33660723,Africa,1412,60432,76,2021-04-21
127,121,Rwanda,23672,69,317,1,21594,1761,7,1793,24,1237120,93704,13202399,Africa,558,41648,11,2021-04-21
128,122,Gabon,21566,595,132,3,18219,3215,20,9514,58,679898,299954,2266678,Africa,105,17172,3,2021-04-21
129,123,Guinea,21299,193,136,0,18815,2348,24,1588,10,417479,31132,13410087,Africa,630,98604,32,2021-04-21
130,124,Syria,20555,120,1402,10,14335,4818,0,1153,79,103566,5808,17831997,Asia,868,12719,172,2021-04-21
131,125,Mayotte,19757,51,168,1,2964,16625,6,71082,604,165683,596098,277946,Africa,14,1654,2,2021-04-21
132,126,Cabo Verde,19525,294,188,1,17645,1692,23,34821,335,136977,244288,560720,Africa,29,2983,4,2021-04-21
133,127,French Polynesia,18680,2,141,0,4842,13697,1,66198,500,26355,93397,282183,Australia/Oceania,15,2001,11,2021-04-21
134,128,Réunion,18425,0,135,0,16794,1496,54,20465,150,100098,111180,900327,Africa,49,6669,9,2021-04-21
135,129,Eswatini,18407,5,670,1,17682,55,3,15738,573,175502,150056,1169580,Africa,64,1746,7,2021-04-21
136,130,Mauritania,18066,14,452,1,17428,186,14,3808,95,217078,45750,4744829,Africa,263,10497,22,2021-04-21
137,131,French Guiana,17883,77,95,0,9995,7793,11,58688,312,172132,564901,304712,South America,17,3207,2,2021-04-21
138,132,Mongolia,17823,1220,29,2,10253,7541,88,5369,9,2503759,754240,3319578,Asia,186,114468,1,2021-04-21
139,133,Tajikistan,13308,0,90,0,13218,0,0,1371,9,0,0,9704736,Asia,729,107830,0,2021-04-21
140,134,Burkina Faso,13050,61,154,1,12689,207,0,611,7,175621,8226,21349397,Africa,1636,138632,122,2021-04-21
141,135,Haiti,12857,2,251,0,11614,992,0,1117,22,60085,5220,11511413,North America,895,45862,192,2021-04-21
142,136,Somalia,12837,271,656,38,5346,6835,0,791,40,102486,6311,16238265,Africa,1265,24753,158,2021-04-21
143,137,Guadeloupe,12717,0,176,0,2242,10299,13,31778,440,164128,410137,400178,North America,31,2274,2,2021-04-21
144,138,Andorra,12641,27,121,0,11989,531,29,163401,1564,193595,2502456,77362,Europe,6,639,0,2021-04-21
145,139,Belize,12522,9,318,0,12140,64,1,31051,789,108026,267876,403269,North America,32,1268,4,2021-04-21
146,140,Mali,12467,288,419,2,7238,4810,0,602,20,243860,11778,20704544,Africa,1661,49414,85,2021-04-21
147,141,Togo,12214,89,117,0,9543,2554,0,1449,14,294824,34973,8430002,Africa,690,72051,29,2021-04-21
148,142,Hong Kong,11613,5,209,1,11237,167,6,1539,28,11193673,1483647,7544701,Asia,650,36099,1,2021-04-21
149,143,Curaçao,11581,151,78,4,7666,3837,22,70350,474,86747,526953,164620,North America,14,2111,2,2021-04-21
150,144,Guyana,11374,97,260,2,9880,1234,15,14406,329,102053,129257,789533,South America,69,3037,8,2021-04-21
151,145,Lesotho,10709,0,315,0,5028,5366,0,4968,146,71629,33230,2155574,Africa,201,6843,30,2021-04-21
152,146,South Sudan,10405,18,114,0,10148,143,0,921,10,140929,12475,11296545,Africa,1086,99093,80,2021-04-21
153,147,Djibouti,10202,125,106,4,8591,1505,0,10210,106,142182,142290,999244,Africa,98,9427,7,2021-04-21
154,148,Aruba,10159,37,92,0,9573,494,14,94836,859,137782,1286216,107122,North America,11,1164,1,2021-04-21
155,149,Congo,10084,0,139,2,8208,1737,0,1793,25,92500,16448,5623929,Africa,558,40460,61,2021-04-21
156,150,Martinique,9890,0,64,0,98,9728,24,26371,171,140946,375820,375036,North America,38,5860,3,2021-04-21
157,151,Bahamas,9505,0,190,0,8965,350,3,23991,480,80704,203700,396190,North America,42,2085,5,2021-04-21
158,152,Suriname,9417,54,184,0,8725,508,11,15941,311,46705,79060,590755,South America,63,3211,13,2021-04-21
159,153,Papua New Guinea,8984,170,71,2,846,8067,0,989,8,70260,7738,9079415,Australia/Oceania,1011,127879,129,2021-04-21
160,154,Trinidad and Tobago,8596,85,148,2,7818,630,14,6127,105,118602,84532,1403050,North America,163,9480,12,2021-04-21
161,155,Benin,7611,96,95,2,6728,788,35,615,8,575088,46489,12370480,Africa,1625,130216,22,2021-04-21
162,156,Equatorial Guinea,7259,40,106,0,6885,268,11,5045,74,116266,80809,1438775,Africa,198,13573,12,2021-04-21
163,157,Nicaragua,6778,0,180,0,4225,2373,0,1014,27,0,0,6686300,North America,986,37146,0,2021-04-21
164,158,Iceland,6275,1,29,0,6163,83,0,18295,85,566304,1651119,342982,Europe,55,11827,1,2021-04-21
165,159,Gambia,5682,80,170,2,5165,347,3,2301,69,60533,24512,2469496,Africa,435,14526,41,2021-04-21
166,160,CAR,5682,0,75,0,5112,495,2,1161,15,40907,8356,4895406,Africa,862,65272,120,2021-04-21
167,161,Yemen,5582,75,1083,10,2128,2371,23,184,36,22934,756,30338432,Asia,5435,28013,1323,2021-04-21
168,162,Niger,5081,0,189,0,4760,132,1,204,8,93751,3767,24886024,Africa,4898,131672,265,2021-04-21
169,163,San Marino,5005,19,86,0,4624,295,8,147262,2530,57223,1683673,33987,Europe,7,395,1,2021-04-21
170,164,Cambodia,4874,178,35,2,2290,2549,0,288,2,788973,46685,16900093,Asia,3467,482860,21,2021-04-21
171,165,Chad,4662,10,167,0,4312,183,0,278,10,110863,6602,16792515,Africa,3602,100554,151,2021-04-21
172,166,Seychelles,4633,0,25,0,4310,298,0,46881,253,21504,217597,98825,Africa,21,3953,5,2021-04-21
173,167,Saint Lucia,4355,0,64,0,4179,112,1,23632,347,37758,204888,184286,North America,42,2879,5,2021-04-21
174,168,Gibraltar,4290,13,94,0,4181,15,1,127364,2791,222091,6593564,33683,Europe,8,358,0,2021-04-21
175,169,Channel Islands,4053,0,86,0,3956,11,1,23144,491,399901,2283583,175120,Europe,43,2036,0,2021-04-21
176,170,Sierra Leone,4013,4,79,0,2832,1102,0,495,10,118332,14602,8103627,Africa,2019,102578,68,2021-04-21
177,171,Comoros,3803,7,146,0,3582,75,0,4302,165,0,0,884057,Africa,232,6055,0,2021-04-21
178,172,Barbados,3744,4,44,0,3634,66,0,13016,153,146728,510089,287652,North America,77,6538,2,2021-04-21
179,173,Guinea-Bissau,3694,1,66,0,3093,535,11,1843,33,60864,30367,2004263,Africa,543,30368,33,2021-04-21
180,174,Eritrea,3479,10,10,0,3273,196,0,970,3,23693,6609,3584844,Africa,1030,358484,151,2021-04-21
181,175,Burundi,3333,71,6,0,773,2554,0,274,0.5,90019,7399,12166138,Africa,3650,2027690,135,2021-04-21
182,176,Liechtenstein,2770,2,56,0,2646,68,5,72487,1465,32252,843984,38214,Europe,14,682,1,2021-04-21
183,177,Vietnam,2733,19,35,0,2445,253,0,28,0.4,2598753,26511,98025481,Asia,35867,2800728,38,2021-04-21
184,178,New Zealand,2589,2,26,0,2462,101,0,518,5,1953823,390601,5002100,Australia/Oceania,1932,192388,3,2021-04-21
185,179,Monaco,2384,6,31,0,2266,87,6,60416,786,51953,1316599,39460,Europe,17,1273,1,2021-04-21
186,180,Turks and Caicos,2360,0,17,0,2285,58,2,60316,434,41426,1058757,39127,North America,17,2302,1,2021-04-21
187,181,Sao Tome and Principe,2269,1,35,0,2196,38,0,10205,157,12597,56657,222339,Africa,98,6353,18,2021-04-21
188,182,Sint Maarten,2196,8,27,0,2133,36,1,50766,624,25304,584969,43257,North America,20,1602,2,2021-04-21
189,183,Liberia,2042,0,85,0,1899,58,2,396,17,79684,15472,5150360,Africa,2522,60592,65,2021-04-21
190,184,Bermuda,1935,23,16,0,1051,868,41,31161,258,219837,3540219,62097,North America,32,3881,0,2021-04-21
191,185,St. Vincent Grenadines,1812,6,10,0,1677,125,2,16292,90,43985,395488,111217,North America,61,11122,3,2021-04-21
192,186,Saint Martin,1693,0,12,0,1399,282,7,43210,306,26385,673413,39181,North America,23,3265,1,2021-04-21
193,187,Isle of Man,1575,0,29,0,1445,101,0,18446,340,44761,524219,85386,Europe,54,2944,2,2021-04-21
194,188,Caribbean Netherlands,1526,0,14,0,1416,96,0,57772,530,10011,379004,26414,North America,17,1887,3,2021-04-21
195,189,Antigua and Barbuda,1201,0,31,0,947,223,45,12185,315,16493,167331,98565,North America,82,3180,6,2021-04-21
196,190,Mauritius,1201,3,15,0,841,345,0,943,12,358675,281661,1273428,Africa,1060,84895,4,2021-04-21
197,191,Timor-Leste,1103,17,2,0,564,537,0,824,1,52173,38992,1338060,Asia,1213,669030,26,2021-04-21
198,192,Taiwan,1067,5,11,0,1029,27,0,45,0.5,513203,21517,23850673,Asia,22353,2168243,46,2021-04-21
199,193,Bhutan,929,2,1,0,876,52,0,1194,1,656867,844012,778267,Asia,838,778267,1,2021-04-21
200,194,St. Barth,907,0,1,0,462,444,0,91607,101,26385,2664882,9901,North America,11,9901,0,2021-04-21
201,0,0,721,0,15,0,706,0,0,0,0,0,0,0,0,0,0,0,2021-04-21
202,195,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0, ,0,0,0,0,2021-04-21
203,196,Faeroe Islands,662,1,1,0,660,1,0,13508,20,247602,5052174,49009,Europe,74,49009,0,2021-04-21
204,197,Cayman Islands,523,0,2,0,498,23,0,7885,30,85460,1288465,66327,North America,127,33164,1,2021-04-21
205,198,Tanzania,509,0,21,0,183,305,7,8,0.3,0,0,61057874,Africa,119957,2907518,0,2021-04-21
206,199,Wallis and Futuna,437,0,5,0,44,388,3,39430,451,1331,120094,11083,Australia/Oceania,25,2217,8,2021-04-21
207,200,Brunei ,221,2,3,0,206,12,0,501,7,116596,264532,440764,Asia,1994,146921,4,2021-04-21
208,201,British Virgin Islands,178,0,1,0,159,18,0,5857,33,13223,435125,30389,North America,171,30389,2,2021-04-21
209,202,Dominica,165,0, ,0,159,6,0,2288,0,13500,187170,72127,North America,437,0,5,2021-04-21
210,203,Grenada,155,0,1,0,152,2,0,1372,9,23989,212418,112933,North America,729,112933,5,2021-04-21
211,204,New Caledonia,121,0, ,0,58,63,0,421,0,29182,101450,287650,Australia/Oceania,2377,0,10,2021-04-21
212,205,Fiji,68,0,2,0,64,2,0,75,2,40300,44701,901543,Australia/Oceania,13258,450772,22,2021-04-21
213,206,Falkland Islands,62,2, ,0,55,7,0,17421,0,7191,2020511,3559,South America,57,0,0,2021-04-21
214,207,Laos,53,1, ,0,49,4,0,7,0,143481,19500,7358183,Asia,138834,0,51,2021-04-21
215,208,Macao,49,0, ,0,48,1,0,75,0,4418,6732,656265,Asia,13393,0,149,2021-04-21
216,209,Saint Kitts and Nevis,44,0, ,0,44,0,0,823,0,12381,231447,53494,North America,1216,0,4,2021-04-21
217,210,Greenland,31,0, ,0,31,0,0,545,0,20669,363590,56847,North America,1834,0,3,2021-04-21
218,211,Vatican City,27,0, ,0,15,12,0,33624,0,0,0,803,Europe,30,0,0,2021-04-21
219,212,Anguilla,25,0, ,0,22,3,0,1655,0,14579,964985,15108,North America,604,0,1,2021-04-21
220,213,Saint Pierre Miquelon,24,0, ,0,24,0,0,4158,0,5126,888080,5772,North America,241,0,1,2021-04-21
221,214,Montserrat,20,0,1,0,19,0,0,4005,200,1313,262915,4994,North America,250,4994,4,2021-04-21
222,215,Solomon Islands,19,0, ,0,18,1,0,27,0,4500,6428,700011,Australia/Oceania,36843,0,156,2021-04-21
223,216,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,608784,Africa,60878,608784,0,2021-04-21
224,217,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0, ,0,0,0,0,2021-04-21
225,218,Marshall Islands,4,0, ,0,4,0,0,67,0,0,0,59504,Australia/Oceania,14876,0,0,2021-04-21
226,219,Samoa,3,0, ,0,2,1,0,15,0,0,0,199449,Australia/Oceania,66483,0,0,2021-04-21
227,220,Vanuatu,3,0, ,0,1,2,0,10,0,470,1503,312741,Australia/Oceania,104247,0,665,2021-04-21
228,221,Micronesia,1,0, ,0,1,0,0,9,0,0,0,115968,Australia/Oceania,115968,0,0,2021-04-21
0,0,World,138016974,745501,2971444,12931,117560589,17484941,106130,17706,381.2,0,0,0,All,0,0,0,2021-04-20
1,0,Europe,41958852,161148,958410,3938,36307747,4692695,33316,0,0,0,0,0,Europe,0,0,0,2021-04-20
2,0,North America,36990895,96083,839747,1382,28690229,7460919,16629,0,0,0,0,0,North America,0,0,0,2021-04-20
3,1,USA,32070784,77720,577177,819,24626410,6867197,9540,96446,1736,422126761,1269452,332526757,North America,10,576,1,2021-04-20
4,0,Asia,31863919,332307,453311,2424,28198049,3212559,28355,0,0,0,0,0,Asia,0,0,0,2021-04-20
5,0,South America,22734019,143471,602126,4770,20384027,1747866,24167,0,0,0,0,0,South America,0,0,0,2021-04-20
6,2,India,13871321,185248,172115,1026,12332688,1366518,8944,9975,124,259207108,186394,1390642113,Asia,100,8080,5,2021-04-20
7,3,Brazil,13601566,80157,358718,3687,12074798,1168050,8318,63634,1678,28600000,133804,213745314,South America,16,596,7,2021-04-20
8,4,France,5106329,39113,99480,345,3972182,1034667,5952,78094,1521,70448755,1077411,65387072,Europe,13,657,1,2021-04-20
9,5,Russia,4657883,8173,103601,338,4281776,272506,2300,31907,710,124100000,850095,145983692,Europe,31,1409,1,2021-04-20
10,0,Africa,4408396,12246,116682,416,3945131,346583,3658,0,0,0,0,0,Africa,0,0,0,2021-04-20
11,6,UK,4375814,2472,127123,23,4106779,141912,377,64193,1865,137848442,2022244,68166088,Europe,16,536,0,2021-04-20
12,7,Turkey,3962760,59187,34455,273,3424733,503572,2951,46593,405,42199485,496171,85050360,Asia,21,2468,2,2021-04-20
13,8,Italy,3793025,13439,115088,476,3158725,519212,3526,62807,1906,53550491,886717,60391837,Europe,16,525,1,2021-04-20
14,9,Spain,3376548,6292,76625,100,3114053,185870,2152,72196,1638,44285495,946898,46769025,Europe,14,610,1,2021-04-20
15,10,Germany,3031836,10772,79408,298,2700200,252228,4662,36096,945,51559277,613841,83994506,Europe,28,1058,2,2021-04-20
16,11,Poland,2599833,13210,59127,645,2219655,321051,3513,68753,1564,13062929,345452,37813984,Europe,15,640,3,2021-04-20
17,12,Argentina,2579000,27001,58174,217,2262875,257951,3836,56655,1278,9743345,214041,45521023,South America,18,782,5,2021-04-20
18,13,Colombia,2569314,16377,66482,326,2408624,94208,4299,50076,1296,13439422,261936,51307978,South America,20,772,4,2021-04-20
19,14,Mexico,2281840,1627,209702,364,1812694,259444,4798,17553,1613,6279527,48306,129994567,North America,57,620,21,2021-04-20
20,15,Iran,2118212,24760,65055,291,1729293,323864,4481,24969,767,13866887,163457,84834876,Asia,40,1304,6,2021-04-20
21,16,Ukraine,1872785,11680,37758,457,1430234,404793,177,43026,867,8716400,200254,43526620,Europe,23,1153,5,2021-04-20
22,17,Peru,1659707,6387,55489,259,1584425,19793,2599,49794,1665,10086002,302598,33331387,South America,20,601,3,2021-04-20
23,18,Czechia,1585100,3871,28105,77,1482989,74006,1144,147800,2621,14635011,1364620,10724603,Europe,7,382,1,2021-04-20
24,19,Indonesia,1577526,5702,42782,126,1426145,108599,0,5720,155,13510828,48989,275790702,Asia,175,6446,20,2021-04-20
25,20,South Africa,1559960,847,53423,67,1485315,21222,546,26045,892,10181143,169985,59894339,Africa,38,1121,6,2021-04-20
26,21,Netherlands,1364025,6685,16820,29,1140370,206835,782,79467,980,11292587,657897,17164681,Europe,13,1020,2,2021-04-20
27,22,Chile,1088710,5790,24518,35,1020925,43267,3203,56571,1274,12021128,624639,19244919,South America,18,785,2,2021-04-20
28,23,Canada,1078562,7546,23392,36,976877,78293,928,28382,616,29251338,769737,38001715,North America,35,1625,1,2021-04-20
29,24,Romania,1012373,3883,25441,193,915464,71468,1530,52903,1329,7736296,404269,19136495,Europe,19,752,2,2021-04-20
30,25,Iraq,941078,8179,14796,39,826323,99959,477,22994,362,8599946,210131,40926514,Asia,43,2766,5,2021-04-20
31,26,Belgium,927229,1753,23503,30,781818,121908,899,79732,2021,11723475,1008102,11629250,Europe,13,495,1,2021-04-20
32,27,Sweden,885378,8880,13721,4,708841,162816,391,87240,1352,7847033,773205,10148706,Europe,11,740,1,2021-04-20
33,28,Philippines,884758,8546,15285,136,703885,165588,750,7991,138,10857391,98059,110723047,Asia,125,7244,10,2021-04-20
34,29,Israel,836334,176,6309,5,826768,3257,231,90930,686,13838957,1504629,9197590,Asia,11,1458,1,2021-04-20
35,30,Portugal,828173,408,16923,5,785809,25441,118,81407,1663,9563681,940077,10173293,Europe,12,601,1,2021-04-20
36,31,Pakistan,729920,4318,15619,118,638267,76034,4198,3255,70,10829994,48296,224242164,Asia,307,14357,21,2021-04-20
37,32,Hungary,728078,2837,23980,272,431124,272974,1209,75519,2487,4976613,516191,9641034,Europe,13,402,2,2021-04-20
38,33,Bangladesh,697985,6028,9891,69,585966,102128,0,4205,60,5070788,30551,165975757,Asia,238,16780,33,2021-04-20
39,34,Jordan,672090,2790,7937,82,610614,53539,729,65362,772,6372263,619716,10282548,Asia,15,1296,2,2021-04-20
40,35,Serbia,648745,3572,5808,35,566122,76815,247,74486,667,3617179,415307,8709642,Europe,13,1500,2,2021-04-20
41,36,Switzerland,625367,2241,10472,6,561861,53034,214,71846,1203,6437818,739614,8704294,Europe,14,831,1,2021-04-20
42,37,Austria,581263,2313,9748,42,541786,29729,599,64251,1078,27197861,3006367,9046752,Europe,16,928,0,2021-04-20
43,38,Japan,508802,2516,9425,25,468770,30607,596,4033,75,10529634,83455,126171504,Asia,248,13387,12,2021-04-20
44,39,Morocco,502961,684,8915,6,489288,4758,246,13501,239,6116735,164193,37253307,Africa,74,4179,6,2021-04-20
45,40,Lebanon,499839,1985,6738,35,411710,81391,844,73491,991,3740454,549957,6801360,Asia,14,1009,2,2021-04-20
46,41,UAE,487697,2022,1537,4,471906,14254,0,48848,154,40669721,4073485,9984012,Asia,20,6496,0,2021-04-20
47,42,Saudi Arabia,400228,951,6773,8,384635,8820,962,11358,192,15919088,451759,35237991,Asia,88,5203,2,2021-04-20
48,43,Bulgaria,378059,2944,14746,127,293351,69962,799,54734,2135,2303963,333560,6907188,Europe,18,468,3,2021-04-20
49,44,Slovakia,372038,870,10716,86,255300,106022,506,68117,1962,2449747,448530,5461722,Europe,15,510,2,2021-04-20
50,45,Malaysia,363940,1767,1345,12,346295,16300,199,11133,41,8292260,253658,32690753,Asia,90,24305,4,2021-04-20
51,46,Panama,359121,329,6173,6,348953,3995,105,82218,1413,2252943,515796,4367896,North America,12,708,2,2021-04-20
52,47,Ecuador,347589,519,17351,53,298604,31634,600,19470,972,1198764,67148,17852660,South America,51,1029,15,2021-04-20
53,48,Belarus,337635,754,2373,10,327848,7414,0,35740,251,5570822,589700,9446877,Europe,28,3981,2,2021-04-20
54,49,Greece,301103,4017,9054,93,254804,37245,802,29000,872,7185541,692053,10382930,Europe,34,1147,1,2021-04-20
55,50,Croatia,294874,1936,6358,25,276420,12096,192,72179,1556,1652525,404504,4085307,Europe,14,643,2,2021-04-20
56,51,Georgia,290129,1374,3894,11,278251,7984,0,72839,978,3722612,934593,3983138,Asia,14,1023,1,2021-04-20
57,52,Azerbaijan,289601,2457,3978,34,253762,31861,0,28362,390,3040386,297760,10210853,Asia,35,2567,3,2021-04-20
58,53,Bolivia,283084,989,12469,18,232422,38193,71,23995,1057,999531,84723,11797677,South America,42,946,12,2021-04-20
59,54,Nepal,280984,460,3058,5,274318,3608,0,9510,103,2321670,78577,29546342,Asia,105,9662,13,2021-04-20
60,55,Tunisia,274604,1664,9396,64,228267,36941,436,23046,789,1191995,100037,11915556,Africa,43,1268,10,2021-04-20
61,56,Kazakhstan,273825,2016,3260,24,235862,34703,221,14448,172,9258849,488525,18952655,Asia,69,5814,2,2021-04-20
62,57,Palestine,272767,1911,2901,18,237046,32820,182,52517,559,1636553,315093,5193881,Asia,19,1790,3,2021-04-20
